fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2020-12-31,USD,79353000000,128292000000,48939000000,51201000000,28798000000,31573000000,None,50020000000,None,-4247000000,4292000000,4247000000,-129000000,-539000000,14275000000,16720000000,23420000000,5619000000,4376000000,18348000000,16732000000,27667000000,44387000000,17801000000,VZ
2019-12-31,USD,84612000000,131868000000,47256000000,54726000000,30378000000,29896000000,None,48650000000,None,-4730000000,121000000,4730000000,-3604000000,-2900000000,14371000000,16682000000,22210000000,2945000000,8334000000,19788000000,17893000000,26940000000,43622000000,19265000000,VZ
2018-12-31,USD,77685000000,130863000000,53178000000,55508000000,22278000000,31083000000,None,56767000000,None,-4833000000,94000000,4833000000,-700000000,2364000000,15186000000,17403000000,19112000000,3584000000,5533000000,16039000000,14609000000,23945000000,41348000000,15528000000,VZ
2017-12-31,USD,26196000000,126034000000,99838000000,51556000000,27425000000,28592000000,None,46687000000,None,-4733000000,82000000,4733000000,-226000000,-2021000000,14741000000,16954000000,20145000000,-9956000000,6733000000,30550000000,30087000000,24878000000,41832000000,30101000000,VZ
2016-12-31,USD,25967000000,125980000000,100013000000,51424000000,29249000000,28102000000,None,49175000000,None,-4376000000,59000000,4376000000,-1800000000,-3789000000,14227000000,15928000000,20505000000,7378000000,6176000000,13608000000,15250000000,24881000000,40809000000,13127000000,VZ
2015-12-31,USD,33722000000,131620000000,97898000000,52557000000,33060000000,29986000000,None,47359000000,None,-4920000000,4891000000,4920000000,0,186000000,14323000000,16017000000,27744000000,9865000000,4920000000,18375000000,17318000000,32664000000,48681000000,17879000000,VZ
2014-12-31,USD,19599000000,127079000000,107480000000,49931000000,19599000000,41016000000,None,57937000000,None,-4915000000,None,4915000000,None,-1194000000,14966000000,16533000000,12939000000,3314000000,4915000000,11956000000,8378000000,17854000000,34387000000,9625000000,VZ
2013-12-31,USD,31968000000,120550000000,88582000000,44887000000,31968000000,27089000000,None,49677000000,None,-2667000000,None,2667000000,None,-166000000,15019000000,16606000000,17227000000,5730000000,2667000000,23547000000,11620000000,19894000000,36500000000,11497000000,VZ
2012-12-31,USD,13160000000,115846000000,102686000000,46275000000,13160000000,39951000000,None,62454000000,400000000,-2571000000,None,2571000000,None,-1016000000,14920000000,16460000000,215000000,-660000000,2571000000,10557000000,1841000000,2786000000,19246000000,875000000,VZ
2011-12-31,USD,12880000000,110875000000,97995000000,45875000000,12880000000,35624000000,None,58473000000,500000000,-2827000000,None,2827000000,None,-14000000,14991000000,16496000000,2689000000,285000000,2827000000,10198000000,2624000000,5516000000,22012000000,2404000000,VZ
2010-12-31,USD,13345000000,106565000000,93220000000,44149000000,14645000000,31366000000,None,55340000000,500000000,-2523000000,None,2523000000,None,54000000,14593000000,16405000000,5016000000,2467000000,2523000000,13240000000,4947000000,7539000000,23944000000,2549000000,VZ
2009-12-31,USD,14027000000,107808000000,93781000000,44579000000,15978000000,30717000000,None,53890000000,900000000,-3102000000,None,3102000000,None,91000000,14564000000,16534000000,6813000000,1919000000,3102000000,13460000000,5434000000,9915000000,26449000000,4894000000,VZ
2023-12-31,CNY,155915628000,247639205000,91723577000,91723577000,58698762000,4075622000,10952374000,97216866000,None,10194093000,10238080000,43987000,None,None,None,1888205000,71881155000,11849904000,None,60026544000,None,71889421000,73777626000,60026544000,PDD
2022-12-31,CNY,99095291000,130557589000,31462298000,31462298000,30401921000,3964935000,10384716000,68693370000,None,3945445000,3997100000,51655000,None,None,None,6218458000,36419014000,4725667000,None,31538062000,None,30401921000,36620379000,31538062000,PDD
2021-12-31,CNY,62231846000,93949939000,31718093000,31718093000,6896762000,1540774000,8992590000,55335084000,None,1830660000,3061662000,1231002000,None,None,None,3717917000,9455427000,1933585000,None,7768670000,None,6896762000,10614679000,7768670000,PDD
2020-12-31,CNY,40213224000,59491865000,19278641000,19278641000,-9380325000,1507297000,6891653000,49593549000,None,1698030000,2455366000,757336000,None,None,None,2649068000,-7263396000,66916000,None,-7179742000,None,-9380325000,-6731257000,-7330312000,PDD
2019-12-31,CNY,23803108000,30141886000,6338778000,6338778000,-8538211000,1296712000,3870358000,32341319000,None,1395967000,1541825000,145858000,None,0,None,1624611000,-6996279000,-437863000,None,-6967603000,None,-8538211000,-6913600000,-6558416000,PDD
2018-12-31,CNY,10214741000,13119990000,2905249000,2905249000,-10799741000,6456612000,1116057000,21014482000,None,584940000,584940000,0,None,0,None,497003000,-10217125000,582616000,None,-10217125000,None,-11306781000,-10809778000,-10217125000,PDD
2017-12-31,CNY,1021246000,1744076000,722830000,722830000,-595724000,133207000,129181000,1606970000,None,80783000,80783000,0,None,0,None,2265000,-525115000,-59236000,None,-525115000,None,-564177000,-561912000,-525115000,PDD
2016-12-31,CNY,-73006000,504864000,577870000,577870000,-286210000,14793000,29421000,213204000,None,4460000,4460000,0,None,0,None,756000,-291977000,3733000,None,-291977000,None,-278017000,-277261000,-291977000,PDD
2023-09-30,USD,68228000000,88898000000,20670000000,59201000000,12863000000,15336000000,None,22157000000,424000000,1973000000,427000000,-1973000000,None,-73000000,3626000000,1782000000,3733000000,1379000000,-1973000000,2354000000,3181000000,1760000000,3542000000,2354000000,DIS
2022-09-30,USD,64140000000,82722000000,18582000000,75952000000,12121000000,16388000000,None,19803000000,90000000,1549000000,581000000,-1549000000,None,-4000000,3183000000,2019000000,4877000000,1732000000,-1549000000,3193000000,5466000000,3328000000,5347000000,3145000000,DIS
2021-09-30,USD,51162000000,67418000000,16256000000,63759000000,7766000000,13517000000,None,17184000000,307000000,-1546000000,-3092000000,-1546000000,None,0,3068000000,2085000000,2020000000,25000000,1546000000,2024000000,3877000000,474000000,2559000000,1995000000,DIS
2020-09-30,USD,45042000000,65388000000,20346000000,61594000000,8108000000,12369000000,None,21163000000,None,-1647000000,198000000,1647000000,65000000,0,3140000000,2242000000,-2165000000,699000000,1647000000,-2832000000,-4569000000,-518000000,1724000000,-2864000000,DIS
2019-09-30,USD,55523000000,69607000000,14047000000,57719000000,14847000000,11549000000,None,54546000000,None,-1246000000,543000000,1246000000,-511000000,0,2844000000,1323000000,14080000000,3026000000,1757000000,10441000000,8240000000,15326000000,16649000000,11054000000,DIS
2023-12-31,USD,7050000000,8971000000,1921000000,1921000000,762000000,4164000000,2124000000,6288000000,None,230000000,255000000,25000000,8971000000,-56000000,372000000,544000000,1008000000,-723000000,None,1731000000,1796000000,762000000,1306000000,1731000000,NOW
2022-12-31,USD,5672000000,7245000000,1573000000,1573000000,355000000,3549000000,1768000000,5317000000,None,-27000000,27000000,27000000,7245000000,-38000000,261000000,439000000,399000000,74000000,27000000,325000000,189000000,426000000,865000000,325000000,NOW
2021-12-31,USD,4543000000,5896000000,1353000000,1353000000,257000000,2889000000,1397000000,4286000000,None,-28000000,28000000,28000000,5893000000,20000000,312000000,370000000,249000000,19000000,31000000,230000000,170000000,277000000,647000000,230000000,NOW
2020-12-31,USD,3532000000,4519000000,987000000,987113000,199000000,2309181000,1024000000,3333000000,None,-32746000,254000,33000000,4472873000,-16000000,225000000,263631000,150000000,31000000,79357000,118503000,188000000,183000000,446631000,119000000,NOW
2019-12-31,USD,2664000000,3460000000,796000000,796645000,42000000,1873300000,749000000,2622000000,None,-33283000,-283000,33000000,3460437000,58000000,168000000,202614000,67000000,-560000000,33283000,626698000,656000000,100000000,302614000,627000000,NOW
2018-12-31,USD,1986158000,2608816000,622658000,622658000,-42426000,1499083000,529501000,2028584000,None,-52733000,34624000,52733000,2608816000,56135000,123000000,168558000,-39024000,-12320000,52733000,-26704000,-29272000,13709000,182267000,-26704000,NOW
2017-12-31,USD,1418632000,1933026000,499862000,499772000,-64396000,1157150000,377518000,1483028000,None,-53394000,16677000,53394000,1918494000,11181000,93200000,134962000,-113406000,3440000,53394000,-149130000,-88406000,-60012000,74950000,-116846000,NOW
2016-12-31,USD,991990000,1390513000,398995000,398682000,-382168000,859400000,285239000,1374158000,None,-33278000,8032000,33278000,1390985000,6623000,67800000,96317000,-410419000,3830000,33278000,-451804000,-420148000,-377141000,-280824000,-414249000,NOW
2015-12-31,USD,676067000,1005480000,329413000,329413000,-166365000,625043000,217389000,842432000,None,-31097000,26647000,31097000,None,2858000,48500000,77341000,-193012000,5414000,31097000,-198426000,-203195000,-161915000,-84574000,-198426000,NOW
2014-12-31,USD,433787000,682563000,248776000,248776000,-151835000,437364000,148258000,585622000,2964000,-29059000,None,29059000,2490000,-100000,35300000,58070000,-175540000,3847000,29059000,-179387000,-191024000,-146481000,-88411000,-179387000,NOW
2013-12-31,USD,269391000,424650000,155259000,155259000,-66267000,256980000,78678000,335658000,1053000,-3498000,None,3498000,-2493000,8000,22600000,30477000,-71197000,2511000,3498000,-73708000,-74148000,-67699000,-37222000,-73708000,NOW
2012-12-31,USD,139703000,243712000,104009000,104009000,-37584000,137954000,39333000,177287000,351000,-1337000,None,1337000,1000,186000,13500000,13710000,-35980000,1368000,1337000,-37348000,-38283000,-37584000,-20933000,-37348000,NOW
2024-03-31,CNY,333253000000,941168000000,607915000000,607915000000,123871000000,41985000000,52256000000,209382000000,None,-17911000000,None,7947000000,None,None,None,48232000000,101596000000,22529000000,None,71332000000,None,123871000000,172103000000,80009000000,BABA
2023-03-31,CNY,318992000000,868687000000,549695000000,549695000000,100351000000,42183000000,56744000000,215927000000,None,-16989000000,5918000000,16989000000,None,None,None,167895,89185000000,15549000000,None,65573000000,None,122391832105,122392000000,72783000000,BABA
2022-03-31,CNY,313612000000,853062000000,539450000000,539450000000,105302000000,31922000000,55465000000,218833000000,None,-20611000000,30496000000,20611000000,None,None,None,228485,59550000000,26815000000,None,47079000000,None,116948771515,116949000000,62249000000,BABA
2021-03-31,CNY,296084000000,717289000000,421205000000,421205000000,170054000000,55224000000,57236000000,206406000000,None,68318000000,72794000000,4476000000,None,None,None,236558,165578000000,29278000000,None,143284000000,None,182480763442,182481000000,150578000000,BABA
2020-03-31,CNY,227344000000,509711000000,282367000000,282367000000,172401000000,28197000000,43080000000,135338000000,None,67776000000,72956000000,5180000000,None,None,None,13388000000,166645000000,20562000000,None,140350000000,None,172401000000,185789000000,149433000000,BABA
2019-03-31,CNY,169915000000,376844000000,206929000000,206929000000,57084000000,24889000000,37435000000,112831000000,None,38916000000,44106000000,5190000000,None,0,None,10727000000,96221000000,16553000000,None,80234000000,None,101411000000,112138000000,87886000000,BABA
2018-03-31,CNY,143222000000,250266000000,107044000000,107044000000,69314000000,16241000000,22754000000,73414000000,None,26929000000,30495000000,3566000000,None,0,None,7120000000,100403000000,18199000000,None,61412000000,None,104463000000,111583000000,64093000000,BABA
2017-03-31,CNY,98790000000,158273000000,59483000000,59483000000,48055000000,12239000000,17060000000,50284000000,None,5888000000,8559000000,2671000000,None,0,None,14292000000,60029000000,13776000000,None,41226000000,None,60636000000,74928000000,43675000000,BABA
2016-03-31,CNY,66788000000,101143000000,34355000000,34355000000,29102000000,9205000000,13788000000,37231000000,None,None,51210000000,1946000000,None,0,None,2931000000,81468000000,8449000000,None,3694.80,None,83869000000,86800000000,71460000000,BABA
2015-03-31,CNY,52370000000,76204000000,23834000000,23834000000,23135000000,7800000000,10658000000,29060000000,None,None,None,2750000000,None,0,None,2089000000,32326000000,6416000000,None,3922897007.82,None,35251000000,37340000000,24261000000,BABA
2014-03-31,CNY,39135000000,52504000000,13369000000,13369000000,24920000000,4218000000,5093000000,13919000000,None,None,None,2195000000,None,None,None,1654000000,26802000000,3196000000,None,23403000000,None,29041000000,30695000000,23315000000,BABA
2013-03-31,CNY,24798000000,34517000000,9719000000,9719000000,10751000000,2889000000,3753000000,13484000000,None,None,None,1572000000,None,None,None,935000000,10112000000,1457000000,None,None,None,11859000000,12794000000,8532000000,BABA
2012-03-31,CNY,13471000000,20025000000,6554000000,6554000000,5015000000,2211000000,2897000000,8121000000,None,None,None,68000000,None,None,None,870000000,5532000000,842000000,None,None,None,5735000000,6605000000,4228000000,BABA
2011-03-31,CNY,4626570000,5557586000,931016000,931016000,1536538000,568324000,580173000,3090032000,None,None,None,176398000,None,None,None,226910000,1706457000,236445000,None,None,None,1536538000,1763448000,1469464000,BABA
2010-03-31,CNY,3340290000,3874728000,534438000,534438000,1072970000,409708000,384333000,2267320000,None,None,None,140941000,None,None,None,126582000,1176419000,163393000,None,None,None,1072970000,1199552000,1013026000,BABA
2009-03-31,CNY,2613826000,3001194000,387368000,387368000,1192383000,320144000,186513000,1421443000,None,None,None,245055000,None,None,None,77220000,1415503000,210317000,None,None,None,1192383000,1269603000,1205186000,BABA
2008-03-31,CNY,1882644000,2162757000,280113000,280113000,804345000,229868000,131495000,1078299000,None,None,None,406307000,None,None,None,59260000,1149444000,181649000,None,None,None,865553000,924813000,967795000,BABA
2007-03-31,CNY,1126237000,1363862000,237625000,237625000,268496000,159969000,105486000,857741000,None,None,None,23159000,None,None,None,54043000,291388000,71450000,None,None,None,268763000,322806000,219938000,BABA
2023-12-31,USD,3552491000,8022841000,4470350000,253162000,2021115000,1117305000,0.29,1438447000,516497000,-431868000,516497000,431868000,-94700000,-83997000,94100000,40075000,1904341000,513461000,431868000,2444253000,1399222000,2336209000,2376284000,1390880000,BX
2022-12-31,USD,3825451000,8517673000,4692222000,3532454000,2642285000,1092671000,0.25,1367766000,271612000,-317225000,105142000,317225000,182900000,-82859000,69200000,67097000,2220511000,472880000,317225000,2988909000,1739782000,2537736000,2604833000,1747631000,BX
2021-12-31,USD,13234304000,22577148000,9342844000,8350126000,12346574000,917847000,1.08,1090830000,160643000,-198268000,461624000,198268000,200600000,458865000,52200000,74871000,7041798000,1184401000,198268000,12374995000,5853602000,7240066000,7314937000,5857397000,BX
2020-12-31,USD,2730334000,6101927000,3371593000,2588758000,1649932000,711782000,0.40,827260000,125231000,-166162000,30542000,166162000,257800000,-4841000,35100000,71053000,1401377000,356014000,166162000,2261506000,1058027000,1567539000,1638592000,1045363000,BX
2019-12-31,USD,3520006000,7338270000,3818264000,3067857000,2805292000,679408000,None,794707000,182398000,-199648000,182398000,199648000,76400000,444396000,26300000,70999000,2001730000,-47952000,199648000,3865967000,2057661000,2201378000,2272377000,2049682000,BX
2018-12-31,USD,2923774000,6833259000,3909485000,2674691000,2327381000,594873000,None,1268710000,7957000,-163990000,171947000,163990000,None,191722000,23900000,59021000,1791178000,249390000,163990000,3263551000,1539330000,1955168000,2014189000,1541788000,BX
2017-12-31,USD,6782492000,7145015000,336561000,2930815000,2921859000,466316000,None,3727404000,-57790000,-197486000,3478973000,197486000,6434212000,725452000,25200000,46776000,2214521000,743147000,197486000,3373954000,1500243000,2412007000,2458783000,1471374000,BX
2016-12-31,USD,4257645000,5146299000,868189000,2203430000,3444209000,520309000,None,2928574000,-56930000,-152654000,2051858000,152654000,4607486000,184750000,32000000,82943000,1171376000,132362000,152654000,2249648000,1028646000,1324030000,1406973000,1039014000,BX
2015-12-31,USD,3969012000,4646552000,677540000,2290751000,3299254000,576103000,None,3090875000,94957000,-144522000,176364000,144522000,4345619000,259071000,26000000,101437000,900187000,190398000,144522000,1624350000,678133000,1044709000,1146146000,709789000,BX
2014-12-31,USD,6833350000,7484728000,651378000,3154371000,6181972000,549463000,None,651378000,69809000,-121524000,None,121524000,6880116000,357854000,28600000,101915000,1875762000,291173000,121524000,3695553000,1560258000,1997286000,2099201000,1584589000,BX
2013-12-31,USD,6040955000,6613168000,572213000,3257667000,2174215000,474442000,None,-120122000,64511000,-107973000,None,107973000,38980000,402133000,33600000,95671000,1426844000,255642000,107973000,2892919000,1172498000,1534817000,1630488000,1171202000,BX
2012-12-31,USD,3329429000,4019441000,690012000,2605244000,68748000,548738000,None,769451000,40354000,-72870000,None,72870000,3617176000,256145000,34000000,139174000,403621000,185023000,72870000,829882000,218810000,476491000,615665000,218598000,BX
2011-12-31,USD,2478672000,3252576000,773904000,2738425000,-909397000,566313000,None,831728000,37427000,-57824000,None,57824000,2994410000,212751000,31600000,207591000,177408000,345711000,57824000,-132753000,-170647000,235232000,442823000,-168303000,BX
2010-12-31,USD,2490933000,3119342000,628409000,3610189000,-1653057000,466358000,None,669638000,36218000,-41229000,None,41229000,2522582000,501994000,24000000,162051000,-285359000,84669000,41229000,-607323000,-368146000,-244130000,-82079000,-370028000,BX
2023-12-31,USD,16892000000,96194000000,41798000000,None,-2663000000,11335000000,None,19555000000,None,8230000000,50281000000,42051000000,45913000000,None,None,4256000000,11670000000,2583000000,42051000000,9230000000,8919000000,53721000000,57977000000,9087000000,MS
2022-12-31,USD,19314000000,65936000000,39299000000,26123000000,343000000,11072000000,None,18971000000,None,9327000000,21595000000,12268000000,44341000000,None,None,3998000000,13939000000,2910000000,12268000000,11179000000,7878000000,26207000000,30205000000,11029000000,MS
2021-12-31,USD,25295000000,61121000000,40035000000,4707000000,7076000000,10505000000,None,18219000000,None,8045000000,9411000000,1366000000,51710000000,None,None,4216000000,19582000000,4548000000,1366000000,15120000000,13894000000,20948000000,25164000000,15034000000,MS
2020-12-31,USD,18156000000,52606000000,34339000000,6778000000,3147000000,7975000000,None,15009000000,None,6313000000,10162000000,3849000000,42444000000,None,None,3769000000,14235000000,3239000000,3849000000,11179000000,11822000000,18084000000,21853000000,10996000000,MS
2019-12-31,USD,14986000000,53942000000,30238000000,14897000000,2057000000,7572000000,None,12929000000,None,4694000000,17098000000,12404000000,36844000000,None,None,2643000000,11106000000,2064000000,12404000000,9237000000,8546000000,23510000000,26153000000,9042000000,MS
2018-12-31,USD,11285000000,50193000000,28846000000,12479000000,-17153000000,23995000000,None,28438000000,None,3806000000,13892000000,10086000000,36301000000,None,None,1844000000,11098000000,2350000000,10086000000,8887000000,9953000000,21184000000,23028000000,8748000000,MS
2017-12-31,USD,10359000000,43642000000,27564000000,7790000000,-17688000000,23768000000,None,28047000000,None,3300000000,8997000000,5697000000,34645000000,None,None,1753000000,10279000000,4168000000,5697000000,6235000000,5694000000,15976000000,17729000000,6111000000,MS
2016-12-31,USD,9809000000,37949000000,25914000000,5238000000,-16617000000,22377000000,None,26426000000,None,3698000000,7016000000,3318000000,30933000000,None,None,1736000000,8705000000,2726000000,3318000000,6122000000,5304000000,12023000000,13759000000,5979000000,MS
2015-12-31,USD,9307000000,37897000000,26747000000,4634000000,-17421000000,22849000000,None,26728000000,None,3093000000,5835000000,2742000000,32062000000,None,None,1433000000,8327000000,2200000000,2742000000,6295000000,5719000000,11069000000,12502000000,6127000000,MS
2014-12-31,USD,3590000000,34275000000,30685000000,25694000000,-23870000000,24382000000,None,27460000000,None,1735000000,5413000000,3678000000,32540000000,None,None,1161000000,3377000000,-90000000,3678000000,3481000000,3312000000,7055000000,8216000000,3467000000,MS
2013-12-31,USD,4482000000,32493000000,27935000000,25333000000,-21756000000,19425000000,None,30669000000,None,778000000,5209000000,4431000000,31715000000,None,None,1511000000,3834000000,902000000,4431000000,2975000000,2355000000,8265000000,9776000000,2932000000,MS
2012-12-31,USD,515000000,26178000000,25597000000,181000000,-25244000000,18902000000,None,31654000000,None,-205000000,5692000000,5897000000,26383000000,36000000,None,1581000000,-93000000,-161000000,5895000000,138000000,-291000000,5804000000,7385000000,68000000,MS
2011-12-31,USD,6114000000,32227000000,26289000000,1777000000,-19294000000,19601000000,None,32160000000,None,351000000,7234000000,6883000000,31876000000,-241000000,None,1404000000,5524000000,1414000000,6752000000,4168000000,4420000000,12407000000,13811000000,4110000000,MS
2010-12-31,USD,6202000000,31230000000,25420000000,1973000000,-19440000000,19083000000,None,32056000000,None,898000000,7305000000,6407000000,30332000000,-307000000,None,1419000000,5446000000,743000000,6414000000,4469000000,4796000000,11853000000,13272000000,4703000000,MS
2009-12-31,USD,857000000,23280000000,22501000000,1681000000,-21847000000,16313000000,None,28925000000,None,790000000,7477000000,6687000000,22490000000,None,None,1224000000,1049000000,-297000000,6221000000,1383000000,1206000000,7736000000,8960000000,1346000000,MS
2023-10-29,USD,12384000000,26274000000,16276000000,14133000000,7654000000,1628000000,3102000000,4730000000,262000000,-238000000,300000000,238000000,26512000000,300000000,471000000,515000000,7716000000,860000000,238000000,6856000000,6841000000,7954000000,8469000000,6856000000,AMAT
2022-10-30,USD,11993000000,25590000000,15670000000,13792000000,7788000000,1438000000,2771000000,4205000000,44000000,-228000000,39000000,228000000,25818000000,39000000,404000000,444000000,7599000000,1074000000,228000000,6525000000,6583000000,7827000000,8271000000,6525000000,AMAT
2021-10-31,USD,10914000000,22827000000,13929000000,12149000000,6889000000,1229000000,2485000000,4025000000,26000000,-236000000,118000000,236000000,23063000000,118000000,345000000,394000000,6771000000,883000000,236000000,5888000000,5927000000,7007000000,7401000000,5888000000,AMAT
2020-10-25,USD,7692000000,16962000000,10979000000,9510000000,4365000000,1093000000,2234000000,3327000000,None,-240000000,41000000,240000000,17202000000,41000000,320000000,376000000,4166000000,547000000,240000000,3619000000,3500000000,4406000000,4782000000,3619000000,AMAT
